clamp_pressure,feedrate,X1_OutputCurrent,Y1_OutputCurrent,M1_CURRENT_FEEDRATE,S1_OutputCurrent,Z1_ActualPosition,Z1_CommandPosition,X1_DCBusVoltage,X1_OutputVoltage,S1_DCBusVoltage,Y1_DCBusVoltage,Machining_Process_end,Y1_OutputVoltage,Machining_Process_Repositioning,X1_OutputPower,S1_ActualPosition,S1_CommandPosition,Machining_Process_Layer 2 Up,S1_ActualVelocity,Machining_Process_Starting,S1_CurrentFeedback,S1_CommandVelocity,S1_OutputPower,tool_condition,experiment_id
4.0,6,328.0,326.0,50.0,328.0,58.1,57.9,0.11,29.8,2.74e-19,0.161,False,46.6,False,0.0041,-361.0,-361.0,False,0.00025,False,0.00893,0.0,-2.82e-07,0,1
4.0,6,328.0,326.0,50.0,328.0,54.6,54.4,0.112,29.8,2.74e-19,0.203,False,49.4,False,0.00416,-361.0,-361.0,False,0.0,False,-0.288,0.0,0.0,0,1
4.0,6,328.0,325.0,50.0,328.0,51.4,51.1,0.0986,28.4,2.74e-19,0.176,False,48.6,False,0.00361,-361.0,-361.0,False,-0.00125,False,0.118,0.0,0.0,0,1
4.0,6,328.0,326.0,50.0,328.0,48.0,47.8,0.107,30.5,2.74e-19,0.181,False,50.0,False,0.00394,-361.0,-361.0,False,0.003,False,-0.0997,0.0,8.51e-07,0,1
4.0,6,328.0,326.0,50.0,328.0,44.5,44.3,0.111,30.1,2.74e-19,0.19,False,47.6,False,0.00409,-361.0,-361.0,False,-0.003,False,0.117,0.0,-2.29e-07,0,1
4.0,6,328.0,326.0,50.0,328.0,41.3,41.0,0.132,30.7,2.74e-19,0.202,False,43.8,False,0.00494,-361.0,-361.0,False,0.001,False,0.524,0.0,0.0,0,1
4.0,6,328.0,326.0,50.0,328.0,37.9,37.7,0.139,30.3,2.74e-19,0.174,False,48.9,False,0.00518,-361.0,-361.0,False,-0.00075,False,0.306,0.0,-5.2e-07,0,1
4.0,6,328.0,326.0,50.0,328.0,34.4,34.2,0.134,30.7,2.74e-19,0.208,False,50.2,False,0.00498,-361.0,-361.0,False,-0.00075,False,0.00893,0.0,9.84e-07,0,1
4.0,6,328.0,326.0,50.0,328.0,31.2,31.0,0.0687,23.5,2.74e-19,0.0867,False,40.6,False,0.00212,-361.0,-361.0,False,-0.00175,False,0.821,0.0,0.0,0,1
4.0,6,329.0,328.0,50.0,329.0,30.5,30.5,0.033,1.81,0.0447,0.0235,False,0.991,False,1.33e-05,-361.0,-361.0,False,0.003,False,0.415,0.0,0.0,0,1
4.0,6,329.0,328.0,50.0,329.0,30.5,30.5,0.0276,4.82,0.034,0.017,False,3.32,False,-1.44e-05,-361.0,-361.0,False,0.00225,False,-0.0997,0.0,0.0,0,1
4.0,6,328.0,327.0,50.0,322.0,30.5,30.5,0.0402,2.0,2.61,0.0205,False,4.47,False,1.1e-05,-361.0,-361.0,False,5.73,False,60.1,6.6,0.0576,0,1
4.0,6,327.0,325.0,6.0,318.0,30.2,30.1,0.0377,1.56,2.56,0.0184,False,1.82,False,7.5e-06,-360.0,-360.0,False,15.8,False,56.7,16.6,0.15,0,1
4.0,6,325.0,324.0,6.0,317.0,29.5,29.5,0.0332,4.3,2.41,0.0194,False,0.51,False,3.56e-06,-358.0,-358.0,False,26.3,False,54.7,27.0,0.231,0,1
4.0,6,323.0,322.0,6.0,309.0,29.5,29.5,0.0983,10.2,2.61,0.0258,False,1.1,False,0.00126,-355.0,-354.0,False,35.9,False,62.0,36.6,0.341,0,1
4.0,6,322.0,322.0,6.0,306.0,29.5,29.5,0.101,11.5,2.65,0.034,False,1.29,False,0.00126,-351.0,-350.0,False,45.9,False,59.0,46.6,0.441,0,1
4.0,6,325.0,324.0,6.0,324.0,29.5,29.5,0.098,14.2,0.389,0.0209,False,2.25,False,0.00118,-345.0,-345.0,False,53.7,False,9.37,53.3,0.0746,0,1
4.0,6,325.0,325.0,6.0,320.0,29.5,29.5,0.113,13.6,1.2,0.0413,False,8.21,False,0.00144,-340.0,-340.0,False,53.2,False,27.3,53.3,0.231,0,1
4.0,6,326.0,325.0,6.0,319.0,29.5,29.5,0.0976,13.9,0.917,0.0396,False,6.91,False,0.00121,-335.0,-335.0,False,53.3,False,22.8,53.3,0.176,0,1
4.0,6,326.0,325.0,6.0,322.0,29.5,29.5,0.0915,14.6,0.872,0.0201,False,0.263,False,0.00111,-329.0,-329.0,False,53.3,False,20.6,53.3,0.168,0,1
4.0,6,326.0,325.0,6.0,320.0,29.5,29.5,0.0813,12.7,0.979,0.0375,False,0.731,False,0.00104,-324.0,-324.0,False,53.3,False,21.9,53.3,0.189,0,1
4.0,6,326.0,325.0,6.0,319.0,29.5,29.5,0.123,14.6,0.906,0.0553,False,7.42,False,0.00154,-319.0,-319.0,False,53.3,False,27.0,53.3,0.172,0,1
4.0,6,326.0,325.0,6.0,322.0,29.5,29.5,0.0939,14.3,0.884,0.0394,False,5.11,False,0.00122,-313.0,-313.0,False,53.3,False,25.0,53.3,0.167,0,1
4.0,6,326.0,325.0,6.0,320.0,29.5,29.5,0.0894,13.5,1.04,0.0682,False,6.47,False,0.00107,-308.0,-308.0,False,53.2,False,23.2,53.3,0.201,0,1
4.0,6,326.0,324.0,6.0,319.0,29.5,29.5,0.0814,13.1,0.876,0.129,False,10.8,False,0.00102,-303.0,-303.0,False,53.3,False,23.1,53.3,0.168,0,1
4.0,6,326.0,325.0,6.0,321.0,29.5,29.5,0.0836,14.5,0.923,0.0862,False,9.64,False,0.000854,-297.0,-297.0,False,53.2,False,24.3,53.3,0.176,0,1
4.0,6,326.0,325.0,6.0,321.0,29.5,29.5,0.0729,10.7,0.91,0.0704,False,9.82,False,0.000777,-292.0,-292.0,False,53.3,False,25.0,53.3,0.175,0,1
4.0,6,326.0,324.0,6.0,319.0,29.5,29.5,0.109,11.3,1.02,0.0993,False,11.3,False,0.000986,-287.0,-287.0,False,53.3,False,21.2,53.3,0.198,0,1
4.0,6,326.0,325.0,6.0,321.0,29.5,29.5,0.0801,11.3,1.03,0.0815,False,15.0,False,0.00067,-281.0,-281.0,False,53.2,False,26.3,53.3,0.196,0,1
4.0,6,326.0,324.0,6.0,321.0,29.5,29.5,0.0847,10.5,1.04,0.0771,False,12.4,False,0.000558,-276.0,-276.0,False,53.2,False,23.7,53.3,0.2,0,1
4.0,6,326.0,324.0,6.0,320.0,29.5,29.5,0.0743,9.91,0.854,0.0806,False,15.0,False,0.000463,-271.0,-271.0,False,53.4,False,20.4,53.3,0.164,0,1
4.0,6,326.0,324.0,6.0,321.0,29.5,29.5,0.0892,9.21,0.835,0.114,False,14.1,False,0.000354,-265.0,-265.0,False,53.4,False,18.9,53.3,0.161,0,1
4.0,6,326.0,324.0,6.0,320.0,29.5,29.5,0.0727,5.95,1.23,0.128,False,15.0,False,0.000174,-260.0,-260.0,False,53.1,False,27.3,53.3,0.235,0,1
4.0,6,326.0,324.0,6.0,320.0,29.5,29.5,0.078,6.14,0.904,0.104,False,13.8,False,4.9e-05,-255.0,-255.0,False,53.4,False,22.5,53.3,0.175,0,1
4.0,6,326.0,325.0,6.0,321.0,29.5,29.5,0.0653,7.62,0.893,0.238,False,14.0,False,-4.96e-05,-249.0,-249.0,False,53.3,False,21.0,53.3,0.172,0,1
4.0,6,326.0,325.0,6.0,321.0,29.5,29.5,0.0552,12.2,0.932,0.0181,False,1.5,False,0.000644,-244.0,-244.0,False,53.3,False,19.6,53.3,0.179,0,1
4.0,6,326.0,324.0,6.0,320.0,29.5,29.5,0.0875,14.6,0.903,0.0233,False,3.42,False,0.0011,-239.0,-239.0,False,53.3,False,26.9,53.3,0.173,0,1
4.0,6,326.0,325.0,6.0,322.0,29.5,29.5,0.099,13.7,0.873,0.0241,False,6.73,False,0.00122,-233.0,-233.0,False,53.3,False,24.6,53.3,0.166,0,1
4.0,6,326.0,325.0,6.0,321.0,29.5,29.5,0.0765,12.7,1.03,0.0136,False,1.87,False,0.000967,-228.0,-228.0,False,53.3,False,23.2,53.3,0.197,0,1
4.0,6,326.0,324.0,6.0,320.0,29.5,29.5,0.0984,11.3,0.894,0.0216,False,0.558,False,0.00128,-223.0,-223.0,False,53.3,False,23.3,53.3,0.172,0,1
4.0,6,326.0,325.0,6.0,321.0,29.5,29.5,0.0959,9.75,0.904,0.146,False,16.2,False,0.000275,-217.0,-217.0,False,53.2,False,22.7,53.3,0.173,0,1
4.0,6,326.0,325.0,6.0,321.0,29.5,29.5,0.117,3.33,0.903,0.0865,False,13.8,False,0.000452,-212.0,-212.0,False,53.3,False,24.2,53.3,0.172,0,1
4.0,6,326.0,324.0,6.0,321.0,29.5,29.5,0.103,8.31,1.02,0.109,False,14.9,False,0.000652,-207.0,-207.0,False,53.3,False,22.2,53.3,0.197,0,1
4.0,6,326.0,325.0,6.0,321.0,29.5,29.5,0.0757,10.0,1.02,0.151,False,13.6,False,0.000558,-201.0,-201.0,False,53.2,False,26.5,53.3,0.195,0,1
4.0,6,326.0,324.0,6.0,321.0,29.5,29.5,0.0881,8.66,1.04,0.132,False,12.0,False,0.000805,-196.0,-196.0,False,53.2,False,23.5,53.3,0.199,0,1
4.0,6,326.0,324.0,6.0,320.0,29.5,29.5,0.0889,12.7,0.845,0.0506,False,7.2,False,0.000898,-191.0,-191.0,False,53.4,False,20.4,53.3,0.162,0,1
4.0,6,326.0,325.0,6.0,320.0,29.5,29.5,0.099,14.0,0.848,0.0431,False,9.01,False,0.00106,-185.0,-185.0,False,53.3,False,18.7,53.3,0.163,0,1
4.0,6,326.0,324.0,6.0,321.0,29.5,29.5,0.101,13.0,1.2,0.0726,False,7.4,False,0.00124,-180.0,-180.0,False,53.1,False,27.8,53.3,0.229,0,1
4.0,6,326.0,325.0,6.0,321.0,29.5,29.5,0.0939,14.4,0.885,0.0633,False,5.57,False,0.0012,-175.0,-175.0,False,53.4,False,21.2,53.3,0.171,0,1
4.0,6,326.0,325.0,6.0,321.0,29.5,29.5,0.206,18.0,0.879,0.0812,False,8.09,False,0.00142,-169.0,-169.0,False,53.3,False,20.5,53.3,0.17,0,1
4.0,6,326.0,325.0,6.0,322.0,29.5,29.5,0.0853,13.1,0.975,0.0682,False,3.11,False,0.00107,-164.0,-164.0,False,53.3,False,21.4,53.3,0.187,0,1
4.0,6,326.0,324.0,6.0,321.0,29.5,29.5,0.0809,13.4,0.878,0.0669,False,3.45,False,0.00102,-159.0,-159.0,False,53.3,False,25.6,53.3,0.167,0,1
4.0,6,326.0,325.0,6.0,322.0,29.5,29.5,0.0932,13.7,0.863,0.0661,False,7.61,False,0.00121,-153.0,-153.0,False,53.3,False,25.2,53.3,0.163,0,1
4.0,6,326.0,324.0,6.0,322.0,29.5,29.5,0.102,13.7,1.0,0.0664,False,4.16,False,0.00122,-148.0,-148.0,False,53.3,False,21.7,53.3,0.192,0,1
4.0,6,326.0,325.0,6.0,321.0,29.5,29.5,0.0736,13.3,0.872,0.065,False,3.61,False,0.000863,-143.0,-143.0,False,53.3,False,21.5,53.3,0.168,0,1
4.0,6,326.0,325.0,6.0,321.0,29.5,29.5,0.0726,14.0,0.919,0.0664,False,7.23,False,0.000853,-137.0,-137.0,False,53.2,False,23.4,53.3,0.177,0,1
4.0,6,326.0,325.0,6.0,322.0,29.5,29.5,0.0853,12.8,0.889,0.0626,False,3.47,False,0.00114,-132.0,-132.0,False,53.3,False,23.8,53.3,0.169,0,1
4.0,6,324.0,324.0,6.0,319.0,29.5,29.5,0.0903,15.7,1.01,0.0655,False,2.86,False,0.00113,-127.0,-127.0,False,53.3,False,20.9,53.3,0.196,0,1
4.0,6,324.0,323.0,6.0,319.0,29.5,29.5,0.0864,15.6,1.01,0.0653,False,6.94,False,0.00108,-121.0,-121.0,False,53.2,False,25.3,53.3,0.194,0,1
4.0,6,325.0,324.0,6.0,321.0,29.5,29.5,0.0889,12.8,1.03,0.0625,False,3.58,False,0.00111,-116.0,-116.0,False,53.2,False,24.2,53.3,0.198,0,1
4.0,6,326.0,324.0,6.0,321.0,29.5,29.5,0.101,13.4,0.845,0.0634,False,3.46,False,0.00135,-111.0,-111.0,False,53.4,False,19.7,53.3,0.162,0,1
4.0,6,326.0,325.0,6.0,320.0,29.5,29.5,0.164,15.7,0.848,0.0425,False,3.72,False,0.00211,-105.0,-105.0,False,53.3,False,18.0,53.3,0.163,0,1
4.0,6,326.0,324.0,6.0,322.0,29.5,29.5,0.0976,15.0,1.21,0.128,False,8.7,False,0.00105,-100.0,-99.8,False,53.1,False,28.6,53.3,0.23,0,1
4.0,6,326.0,324.0,6.0,321.0,29.5,29.5,0.0866,14.2,0.902,0.0955,False,6.55,False,0.000987,-94.9,-94.5,False,53.3,False,25.1,53.3,0.173,0,1
4.0,6,326.0,324.0,6.0,320.0,29.5,29.5,0.105,5.99,0.874,0.0741,False,10.2,False,0.00109,-89.4,-89.0,False,53.3,False,21.9,53.3,0.167,0,1
4.0,6,325.0,324.0,6.0,322.0,29.5,29.5,0.0911,12.3,0.977,0.0861,False,12.7,False,0.000864,-84.3,-83.8,False,53.3,False,21.1,53.3,0.188,0,1
4.0,6,326.0,324.0,6.0,321.0,29.5,29.5,0.0834,12.0,0.892,0.1,False,11.0,False,0.000717,-78.9,-78.5,False,53.3,False,25.9,53.3,0.169,0,1
4.0,6,326.0,324.0,6.0,320.0,29.5,29.5,0.0848,10.5,0.859,0.119,False,13.8,False,0.00059,-73.4,-73.0,False,53.3,False,23.6,53.3,0.163,0,1
4.0,6,325.0,324.0,6.0,322.0,29.5,29.5,0.0791,9.42,1.01,0.0974,False,13.3,False,0.000392,-68.3,-67.8,False,53.3,False,22.7,53.3,0.194,0,1
4.0,6,325.0,324.0,6.0,321.0,29.5,29.5,0.0995,7.46,0.864,0.0957,False,7.85,False,0.000439,-62.9,-62.5,False,53.3,False,21.3,53.3,0.166,0,1
4.0,6,326.0,324.0,6.0,320.0,29.5,29.5,0.0734,8.1,0.915,0.1,False,12.7,False,0.000122,-57.4,-57.0,False,53.2,False,23.7,53.3,0.175,0,1
4.0,6,325.0,324.0,6.0,321.0,29.5,29.5,0.0786,3.63,0.884,0.155,False,15.1,False,6.01e-05,-52.3,-51.8,False,53.3,False,24.0,53.3,0.169,0,1
4.0,6,325.0,324.0,6.0,321.0,29.5,29.5,0.0456,1.43,1.02,0.0874,False,14.4,False,0.0,-46.9,-46.5,False,53.3,False,22.2,53.3,0.196,0,1
4.0,6,326.0,324.0,6.0,320.0,29.5,29.5,0.0504,5.32,1.01,0.0741,False,13.0,False,-1.51e-05,-41.4,-41.0,False,53.2,False,26.5,53.3,0.192,0,1
4.0,6,326.0,324.0,6.0,322.0,29.5,29.5,0.0467,2.39,1.04,0.0801,False,12.7,False,5.83e-06,-36.3,-35.8,False,53.2,False,23.5,53.3,0.2,0,1
4.0,6,325.0,324.0,6.0,321.0,29.5,29.5,0.0469,2.24,0.858,0.1,False,12.6,False,1.41e-05,-30.9,-30.5,False,53.4,False,21.2,53.3,0.164,0,1
4.0,6,326.0,324.0,6.0,320.0,29.5,29.5,0.0531,5.49,0.849,0.0921,False,13.9,False,-7.4e-06,-25.4,-25.0,False,53.3,False,18.2,53.3,0.163,0,1
4.0,6,326.0,324.0,6.0,322.0,29.5,29.5,0.0428,3.35,1.18,0.0766,False,12.9,False,6.01e-06,-20.3,-19.8,False,53.2,False,27.8,53.3,0.227,0,1
4.0,6,325.0,324.0,6.0,322.0,29.5,29.5,0.0353,5.96,0.823,0.145,False,14.2,False,-1.5e-05,-12.6,-12.2,False,53.3,False,21.2,53.3,0.157,0,1
4.0,6,326.0,324.0,6.0,317.0,29.5,29.5,0.0586,4.13,0.8,0.125,False,14.4,False,3.51e-05,-7.47,-7.04,False,53.3,False,21.5,53.3,0.153,0,1
4.0,6,326.0,324.0,6.0,316.0,29.5,29.5,0.0626,2.94,1.06,0.0988,False,13.9,False,2.53e-05,-2.14,-1.7,False,53.3,False,21.7,53.3,0.205,0,1
4.0,6,325.0,324.0,6.0,321.0,29.5,29.5,0.0399,5.94,0.913,0.104,False,13.8,False,-2.08e-05,3.41,3.84,False,53.3,False,17.7,53.3,0.177,0,1
4.0,6,325.0,324.0,6.0,320.0,29.5,29.5,0.0365,7.48,0.995,0.0885,False,13.7,False,-2.04e-05,8.74,9.18,False,53.3,False,19.4,53.3,0.191,0,1
4.0,6,325.0,324.0,6.0,316.0,29.5,29.5,0.0643,4.74,0.99,0.0287,False,0.299,False,3.74e-05,13.9,14.3,False,53.4,False,19.7,53.3,0.191,0,1
4.0,6,325.0,324.0,6.0,322.0,29.5,29.5,0.0534,6.11,0.834,0.0944,False,14.3,False,5.62e-05,19.4,19.8,False,53.4,False,19.5,53.3,0.161,0,1
4.0,6,325.0,324.0,6.0,321.0,29.5,29.5,0.0778,9.33,0.948,0.147,False,15.9,False,0.000246,24.7,25.2,False,53.3,False,21.4,53.3,0.183,0,1
4.0,6,325.0,324.0,6.0,316.0,29.5,29.5,0.101,9.34,0.904,0.0835,False,12.3,False,0.000596,29.9,30.3,False,53.4,False,17.0,53.3,0.171,0,1
4.0,6,325.0,324.0,6.0,321.0,29.5,29.5,0.108,10.7,0.744,0.109,False,12.2,False,0.000754,35.4,35.8,False,53.5,False,14.4,53.3,0.14,0,1
4.0,6,325.0,323.0,6.0,318.0,29.5,29.5,0.0877,10.4,0.855,0.107,False,12.0,False,0.000743,40.5,41.0,False,53.3,False,21.7,53.3,0.165,0,1
4.0,6,325.0,324.0,6.0,316.0,29.5,29.5,0.0786,9.95,0.94,0.0713,False,10.2,False,0.000794,45.9,46.3,False,53.4,False,21.1,53.3,0.181,0,1
4.0,6,325.0,324.0,6.0,322.0,29.5,29.5,0.0669,13.1,0.794,0.108,False,8.64,False,0.000706,51.4,51.8,False,53.3,False,16.7,53.3,0.152,0,1
4.0,6,325.0,324.0,6.0,318.0,29.5,29.5,0.0949,10.6,0.743,0.109,False,7.6,False,0.00108,56.5,57.0,False,53.5,False,15.9,53.3,0.141,0,1
4.0,6,325.0,324.0,6.0,321.0,29.5,29.5,0.106,12.7,0.835,0.0546,False,8.23,False,0.00137,62.1,62.5,False,53.4,False,18.8,53.3,0.158,0,1
4.0,6,325.0,324.0,6.0,322.0,29.5,29.5,0.115,14.9,0.834,0.0987,False,7.29,False,0.0014,67.4,67.8,False,53.3,False,22.5,53.3,0.16,0,1
4.0,6,325.0,324.0,6.0,321.0,29.5,29.5,0.123,15.5,1.01,0.0802,False,7.15,False,0.0015,72.7,73.2,False,53.3,False,22.4,53.3,0.195,0,1
4.0,6,325.0,324.0,6.0,321.0,29.5,29.5,0.106,15.1,0.87,0.0815,False,6.54,False,0.00123,78.1,78.5,False,53.3,False,20.3,53.3,0.168,0,1
4.0,6,326.0,324.0,6.0,321.0,29.5,29.5,0.0835,13.7,0.915,0.0799,False,7.11,False,0.00108,83.4,83.8,False,53.3,False,18.3,53.3,0.177,0,1
4.0,6,325.0,324.0,6.0,320.0,29.5,29.5,0.0961,14.0,0.996,0.0793,False,7.59,False,0.00123,88.7,89.2,False,53.3,False,19.0,53.3,0.19,0,1
4.0,6,326.0,324.0,6.0,321.0,29.5,29.5,0.108,14.8,0.974,0.0786,False,7.01,False,0.00135,94.1,94.5,False,53.2,False,26.1,53.3,0.187,0,1
4.0,6,326.0,324.0,6.0,322.0,29.5,29.5,0.0845,14.8,0.838,0.078,False,7.38,False,0.000982,99.4,99.8,False,53.4,False,19.4,53.3,0.162,0,1
4.0,6,325.0,324.0,6.0,321.0,29.5,29.5,0.0733,14.2,0.96,0.0779,False,6.7,False,0.000889,105.0,105.0,False,53.3,False,21.6,53.3,0.185,0,1
4.0,6,325.0,324.0,6.0,321.0,29.5,29.5,0.0795,13.8,0.979,0.0788,False,5.93,False,0.000957,110.0,111.0,False,53.3,False,20.0,53.3,0.19,0,1
4.0,6,325.0,324.0,6.0,321.0,29.5,29.5,0.103,13.5,0.742,0.0764,False,7.54,False,0.00131,115.0,116.0,False,53.5,False,14.7,53.3,0.141,0,1
4.0,6,325.0,324.0,6.0,320.0,29.5,29.5,0.105,15.4,1.04,0.0807,False,6.42,False,0.00122,121.0,121.0,False,53.2,False,24.3,53.3,0.2,0,1
4.0,6,325.0,324.0,6.0,321.0,29.5,29.5,0.0777,14.8,0.942,0.077,False,8.64,False,0.000957,126.0,127.0,False,53.3,False,22.3,53.3,0.183,0,1
4.0,6,325.0,324.0,6.0,322.0,29.5,29.5,0.0841,12.4,0.839,0.078,False,6.56,False,0.00101,131.0,132.0,False,53.3,False,20.4,53.3,0.159,0,1
4.0,6,326.0,324.0,6.0,320.0,29.5,29.5,0.101,12.9,1.11,0.0785,False,6.45,False,0.00126,137.0,137.0,False,53.2,False,24.2,53.3,0.213,0,1
4.0,6,325.0,324.0,6.0,320.0,29.5,29.5,0.0974,15.8,0.842,0.0852,False,7.49,False,0.00115,142.0,143.0,False,53.4,False,17.4,53.3,0.16,0,1
4.0,6,325.0,324.0,6.0,322.0,29.5,29.5,0.0835,14.3,0.841,0.08,False,5.74,False,0.00101,147.0,148.0,False,53.3,False,19.6,53.3,0.161,0,1
4.0,6,325.0,324.0,6.0,320.0,29.5,29.5,0.0937,14.7,1.02,0.0822,False,7.59,False,0.00115,153.0,153.0,False,53.3,False,22.1,53.3,0.197,0,1
4.0,6,325.0,324.0,6.0,321.0,29.5,29.5,0.106,15.0,0.869,0.0791,False,6.54,False,0.00132,158.0,159.0,False,53.3,False,21.3,53.3,0.167,0,1
4.0,6,326.0,324.0,6.0,321.0,29.5,29.5,0.107,15.4,0.932,0.0773,False,6.46,False,0.00132,163.0,164.0,False,53.3,False,18.0,53.3,0.181,0,1
4.0,6,325.0,324.0,6.0,319.0,29.5,29.5,0.0843,15.4,1.0,0.0835,False,6.41,False,0.001,169.0,169.0,False,53.3,False,19.5,53.3,0.191,0,1
4.0,6,326.0,324.0,6.0,321.0,29.5,29.5,0.101,15.3,0.982,0.139,False,8.92,False,0.00128,174.0,175.0,False,53.2,False,25.0,53.3,0.189,0,1
4.0,6,326.0,324.0,6.0,321.0,29.5,29.5,0.0783,14.4,0.85,0.0697,False,9.05,False,0.000903,179.0,180.0,False,53.4,False,18.8,53.3,0.165,0,1
4.0,6,326.0,324.0,6.0,321.0,29.5,29.5,0.0868,12.4,0.957,0.106,False,11.7,False,0.000833,185.0,185.0,False,53.3,False,22.0,53.3,0.185,0,1
4.0,6,326.0,324.0,6.0,320.0,29.5,29.5,0.0927,12.7,0.995,0.0562,False,10.7,False,0.000771,190.0,191.0,False,53.3,False,20.8,53.3,0.193,0,1
4.0,6,326.0,324.0,6.0,321.0,29.5,29.5,0.0722,9.15,0.745,0.105,False,12.0,False,0.000412,195.0,196.0,False,53.5,False,13.5,53.3,0.141,0,1
4.0,6,326.0,324.0,6.0,320.0,29.5,29.5,0.0796,8.1,1.05,0.134,False,14.7,False,0.000234,201.0,201.0,False,53.2,False,24.1,53.3,0.202,0,1
4.0,6,326.0,324.0,6.0,321.0,29.5,29.5,0.0741,5.48,0.946,0.102,False,14.2,False,1.15e-05,206.0,207.0,False,53.3,False,22.7,53.3,0.183,0,1
4.0,6,326.0,324.0,6.0,322.0,29.5,29.5,0.0548,6.11,0.812,0.0676,False,13.7,False,-7.54e-06,211.0,212.0,False,53.3,False,18.6,53.3,0.156,0,1
4.0,6,326.0,324.0,6.0,320.0,29.5,29.5,0.0525,5.4,1.11,0.0792,False,14.4,False,-2.95e-05,217.0,217.0,False,53.2,False,24.0,53.3,0.212,0,1
