clamp_pressure,feedrate,X1_OutputCurrent,Y1_OutputCurrent,M1_CURRENT_FEEDRATE,S1_OutputCurrent,Z1_ActualPosition,Z1_CommandPosition,X1_DCBusVoltage,X1_OutputVoltage,S1_DCBusVoltage,Y1_DCBusVoltage,Y1_OutputVoltage,X1_OutputPower,S1_ActualPosition,S1_CommandPosition,S1_ActualVelocity,S1_CurrentFeedback,S1_CommandVelocity,S1_OutputPower,tool_condition,experiment_id
2.5,6,326.0,325.0,6.0,319.0,29.5,29.5,0.11,13.5,0.929,0.108,7.62,0.00129,-222.0,-221.0,53.3,22.0,53.3,0.18,0,4
2.5,6,326.0,325.0,6.0,318.0,29.5,29.5,0.105,13.0,0.999,0.112,9.28,0.00122,-216.0,-216.0,53.3,20.4,53.3,0.192,0,4
2.5,6,326.0,325.0,6.0,318.0,29.5,29.5,0.104,12.4,0.932,0.147,11.5,0.00102,-211.0,-210.0,53.3,25.8,53.3,0.179,0,4
2.5,6,326.0,325.0,6.0,319.0,29.5,29.5,0.0799,11.7,0.826,0.085,11.2,0.00073,-206.0,-205.0,53.4,17.1,53.3,0.16,0,4
2.5,6,329.0,328.0,50.0,329.0,119.0,119.0,0.0217,1.56,2.75e-19,0.0137,1.68,-2.2e-06,339.0,339.0,0.0,0.247,0.0,0.0,0,4
2.5,6,329.0,327.0,50.0,329.0,119.0,119.0,0.0198,2.06,2.75e-19,0.0127,1.42,-1.1e-06,339.0,339.0,-0.001,0.26,0.0,-1.82e-06,0,4
2.5,6,329.0,327.0,50.0,329.0,119.0,119.0,0.023,1.76,2.75e-19,0.0154,1.09,-3.26e-06,339.0,339.0,0.00175,0.157,0.0,1.38e-06,0,4
2.5,6,329.0,328.0,50.0,329.0,119.0,119.0,0.0204,0.746,2.75e-19,0.0156,0.286,1.84e-06,339.0,339.0,0.001,0.777,0.0,1.2e-06,0,4
2.5,6,328.0,327.0,50.0,328.0,119.0,119.0,0.029,0.321,2.75e-19,0.0161,0.927,-2.84e-06,339.0,339.0,0.0,-0.0364,0.0,0.0,0,4
2.5,6,329.0,327.0,50.0,329.0,119.0,119.0,0.0241,0.804,2.75e-19,0.0138,0.757,1.62e-06,339.0,339.0,-0.001,0.247,0.0,0.0,0,4
2.5,6,329.0,327.0,50.0,329.0,119.0,119.0,0.0209,1.85,2.75e-19,0.0154,1.59,2.01e-06,339.0,339.0,-0.002,0.26,0.0,-2.25e-06,0,4
2.5,6,329.0,328.0,50.0,329.0,119.0,119.0,0.0258,1.54,2.75e-19,0.0296,1.68,0.0,339.0,339.0,-0.001,0.35,0.0,0.0,0,4
2.5,6,329.0,327.0,50.0,329.0,119.0,119.0,0.0305,0.159,2.75e-19,0.0159,0.658,3.81e-06,339.0,339.0,0.0,0.338,0.0,0.0,0,4
2.5,6,329.0,327.0,50.0,329.0,119.0,119.0,0.0231,1.22,2.75e-19,0.0176,1.3,-4.17e-06,339.0,339.0,0.0,0.17,0.0,0.0,0,4
2.5,6,329.0,328.0,6.0,329.0,119.0,119.0,0.0247,0.316,2.72e-19,0.0138,1.12,-5.05e-07,-486.0,-486.0,-0.001,0.523,0.0,0.0,0,4
2.5,6,329.0,328.0,6.0,329.0,119.0,119.0,0.0173,1.76,2.72e-19,0.0176,0.827,8.98e-07,-486.0,-486.0,-0.00175,0.523,0.0,-5.31e-06,0,4
2.5,6,329.0,328.0,6.0,329.0,119.0,119.0,0.0208,1.2,2.72e-19,0.0211,1.65,0.0,-486.0,-486.0,-0.00275,0.523,0.0,-7e-06,0,4
2.5,6,329.0,328.0,6.0,329.0,119.0,119.0,0.0202,1.68,2.72e-19,0.0191,0.975,8.53e-07,-486.0,-486.0,-0.001,0.798,0.0,-3.33e-06,0,4
2.5,6,329.0,328.0,6.0,329.0,119.0,119.0,0.0194,1.24,2.72e-19,0.0294,0.797,0.0,-486.0,-486.0,0.0,0.215,0.0,-2e-06,0,4
2.5,6,329.0,328.0,6.0,329.0,119.0,119.0,0.0244,2.92,2.72e-19,0.0295,1.76,-2e-06,-486.0,-486.0,0.0,0.523,0.0,-2.73e-06,0,4
2.5,6,329.0,328.0,6.0,329.0,119.0,119.0,0.0219,0.536,2.72e-19,0.019,0.372,-2.18e-06,-486.0,-486.0,0.0,0.831,0.0,-3.24e-06,0,4
2.5,6,329.0,328.0,6.0,329.0,119.0,119.0,0.0269,2.82,2.72e-19,0.0142,1.94,-2.82e-06,-486.0,-486.0,-0.001,0.248,0.0,0.0,0,4
2.5,6,329.0,328.0,6.0,329.0,119.0,119.0,0.0188,1.9,2.72e-19,0.0244,0.761,8.32e-07,-486.0,-486.0,0.0,0.556,0.0,-7.05e-06,0,4
2.5,6,329.0,328.0,6.0,329.0,119.0,119.0,0.0239,2.25,2.72e-19,0.0235,3.55,1.54e-06,-486.0,-486.0,0.001,0.215,0.0,0.0,0,4
2.5,6,329.0,328.0,6.0,329.0,119.0,119.0,0.0212,1.52,2.72e-19,0.0268,2.28,0.0,-486.0,-486.0,0.0,0.523,0.0,-3.2e-06,0,4
2.5,6,326.0,325.0,6.0,316.0,29.5,29.5,0.0197,2.8,0.962,0.0309,1.85,9.38e-08,280.0,280.0,53.3,24.3,53.3,0.186,0,4
2.5,6,326.0,325.0,6.0,315.0,29.5,29.5,0.0251,2.33,1.02,0.0165,1.34,-5.08e-07,285.0,286.0,53.3,27.4,53.3,0.198,0,4
2.5,6,326.0,325.0,6.0,316.0,29.5,29.5,0.024,0.696,0.783,0.0154,1.57,0.0,290.0,291.0,53.5,15.8,53.3,0.148,0,4
2.5,6,328.0,327.0,50.0,328.0,29.5,29.5,0.0184,1.95,6.46e-07,0.0143,1.67,0.0,296.0,296.0,51.9,-0.69,0.0,3.29e-05,0,4
2.5,6,329.0,327.0,50.0,329.0,29.5,29.5,0.019,2.59,2.75e-19,0.0144,2.48,4.29e-07,301.0,301.0,48.4,0.27,0.0,-0.000901,0,4
2.5,6,329.0,327.0,50.0,328.0,29.5,29.5,0.0194,1.01,2.75e-19,0.014,4.05,0.0,305.0,305.0,45.1,-0.0188,0.0,0.000612,0,4
2.5,6,329.0,328.0,50.0,328.0,29.5,29.5,0.017,0.575,2.75e-19,0.0129,2.69,0.0,310.0,310.0,41.9,-0.237,0.0,0.000848,0,4
2.5,6,329.0,328.0,50.0,329.0,29.5,29.5,0.0184,1.73,2.75e-19,0.0176,2.13,-3.8e-07,314.0,314.0,38.7,-0.144,0.0,-0.00201,0,4
2.5,6,329.0,327.0,50.0,329.0,29.5,29.5,0.0242,0.941,2.75e-19,0.0191,0.412,-8.69e-07,318.0,318.0,35.7,-3.61,0.0,-0.000188,0,4
2.5,6,329.0,327.0,50.0,329.0,29.5,29.5,0.0183,2.55,2.75e-19,0.0177,1.27,1.12e-06,321.0,321.0,32.4,0.249,0.0,-0.00154,0,4
2.5,6,329.0,328.0,50.0,329.0,119.0,119.0,0.0253,1.44,2.75e-19,0.0151,0.498,-2.24e-06,339.0,339.0,-0.002,0.363,0.0,0.0,0,4
2.5,6,329.0,328.0,50.0,329.0,119.0,119.0,0.0216,1.2,2.75e-19,0.0169,0.749,-3.56e-06,339.0,339.0,0.001,0.35,0.0,0.0,0,4
2.5,6,329.0,328.0,50.0,329.0,119.0,119.0,0.0219,0.794,2.75e-19,0.0186,1.57,2.08e-06,339.0,339.0,0.00075,0.428,0.0,1.44e-06,0,4
2.5,6,329.0,328.0,50.0,329.0,119.0,119.0,0.0208,0.67,2.75e-19,0.0153,2.85,0.0,339.0,339.0,0.0,0.26,0.0,0.0,0,4
2.5,6,329.0,328.0,50.0,329.0,119.0,119.0,0.0183,1.26,2.75e-19,0.0245,2.75,-1.82e-06,339.0,339.0,0.001,0.35,0.0,3.53e-07,0,4
2.5,6,329.0,327.0,50.0,329.0,119.0,119.0,0.0461,3.6,2.75e-19,0.0227,2.5,0.0,339.0,339.0,0.002,0.26,0.0,1.14e-06,0,4
2.5,6,328.0,326.0,50.0,328.0,73.3,73.1,0.123,29.7,2.72e-19,0.187,47.8,0.00465,-486.0,-486.0,0.001,-0.0922,0.0,0.0,0,4
2.5,6,328.0,326.0,50.0,329.0,70.0,69.7,0.126,30.8,2.72e-19,0.183,50.2,0.00464,-486.0,-486.0,-0.001,0.831,0.0,3.47e-06,0,4
2.5,6,328.0,326.0,50.0,328.0,66.6,66.3,0.112,31.2,2.72e-19,0.164,49.3,0.00416,-486.0,-486.0,0.001,-0.0597,0.0,0.0,0,4
2.5,6,328.0,326.0,50.0,328.0,63.2,63.0,0.121,30.1,2.72e-19,0.153,47.1,0.00466,-486.0,-486.0,0.0,0.831,0.0,0.0,0,4
2.5,6,328.0,326.0,50.0,329.0,59.9,59.6,0.12,29.6,2.72e-19,0.183,48.8,0.00459,-486.0,-486.0,0.002,-0.0273,0.0,4.43e-06,0,4
2.5,6,328.0,326.0,50.0,328.0,56.5,56.2,0.126,30.4,2.72e-19,0.181,49.5,0.00477,-486.0,-486.0,0.0,0.248,0.0,0.0,0,4
2.5,6,328.0,326.0,50.0,329.0,53.1,52.9,0.133,29.8,2.72e-19,0.167,48.4,0.00502,-486.0,-486.0,0.001,0.523,0.0,2.01e-06,0,4
2.5,6,328.0,326.0,50.0,329.0,49.8,49.5,0.123,30.8,2.72e-19,0.205,48.4,0.00455,-486.0,-486.0,-0.001,0.248,0.0,-2.23e-06,0,4
2.5,6,328.0,326.0,50.0,328.0,46.4,46.1,0.147,30.8,2.72e-19,0.166,47.8,0.00549,-486.0,-486.0,0.0,-0.303,0.0,2.72e-06,0,4
2.5,6,328.0,326.0,50.0,329.0,42.9,42.6,0.11,29.6,2.72e-19,0.192,49.8,0.00411,-486.0,-486.0,0.0,0.248,0.0,0.0,0,4
2.5,6,328.0,326.0,50.0,328.0,107.0,107.0,0.118,30.3,2.72e-19,0.193,49.5,0.00443,-486.0,-486.0,0.001,0.248,0.0,1.52e-06,0,4
2.5,6,328.0,326.0,50.0,328.0,103.0,103.0,0.131,29.4,2.72e-19,0.15,47.9,0.00492,-486.0,-486.0,0.0,0.555,0.0,0.0,0,4
2.5,6,328.0,326.0,50.0,328.0,100.0,100.0,0.132,29.9,2.72e-19,0.154,48.5,0.00493,-486.0,-486.0,0.0,0.798,0.0,0.0,0,4
2.5,6,328.0,327.0,50.0,329.0,96.8,96.5,0.14,28.1,2.72e-19,0.195,48.5,0.00507,-486.0,-486.0,-0.001,0.215,0.0,0.0,0,4
2.5,6,328.0,326.0,50.0,328.0,93.5,93.3,0.121,29.5,2.72e-19,0.181,49.7,0.0045,-486.0,-486.0,-0.00075,0.00513,0.0,-4.33e-06,0,4
2.5,6,328.0,326.0,50.0,328.0,90.2,89.9,0.107,31.0,2.72e-19,0.164,50.0,0.00397,-486.0,-486.0,0.002,2.13,0.0,0.0,0,4
2.5,6,328.0,326.0,50.0,328.0,86.7,86.4,0.102,27.5,2.72e-19,0.146,47.5,0.00375,-486.0,-486.0,0.001,-0.0921,0.0,1.4e-06,0,4
2.5,6,328.0,326.0,50.0,328.0,83.4,83.2,0.129,30.5,2.72e-19,0.161,47.8,0.00494,-486.0,-486.0,-0.00325,-0.0598,0.0,-2.47e-06,0,4
2.5,6,328.0,326.0,50.0,328.0,80.1,79.8,0.159,28.9,2.72e-19,0.158,49.3,0.00605,-486.0,-486.0,0.00175,-0.0597,0.0,1.22e-06,0,4
2.5,6,328.0,326.0,50.0,329.0,76.7,76.4,0.111,28.9,2.72e-19,0.179,48.4,0.00414,-486.0,-486.0,0.001,0.183,0.0,0.0,0,4
2.5,6,328.0,326.0,50.0,328.0,39.7,39.4,0.136,31.6,2.72e-19,0.205,48.8,0.00511,-486.0,-486.0,0.003,0.555,0.0,1.4e-06,0,4
2.5,6,328.0,326.0,50.0,328.0,36.2,35.9,0.105,29.3,2.72e-19,0.175,49.1,0.00395,-486.0,-486.0,-0.001,0.28,0.0,0.0,0,4
2.5,6,328.0,326.0,50.0,328.0,32.8,32.5,0.12,29.0,2.72e-19,0.178,49.1,0.0045,-486.0,-486.0,0.003,0.215,0.0,1.11e-06,0,4
2.5,6,329.0,328.0,50.0,329.0,30.5,30.5,0.0257,5.39,2.72e-19,0.041,2.2,-1.84e-06,-486.0,-486.0,0.002,-0.0921,0.0,6.25e-06,0,4
2.5,6,329.0,328.0,50.0,329.0,30.5,30.5,0.0369,1.93,0.0569,0.0253,1.81,5.34e-06,-486.0,-486.0,0.00175,0.313,0.0,0.0,0,4
2.5,6,329.0,327.0,50.0,327.0,30.5,30.5,0.0333,1.21,2.23,0.0167,3.28,4.88e-06,-486.0,-486.0,0.501,58.6,2.2,0.00442,0,4
2.5,6,327.0,325.0,6.0,323.0,30.4,30.3,0.0262,1.97,2.55,0.0301,1.2,-8.59e-06,-486.0,-486.0,11.8,57.9,12.6,0.113,0,4
2.5,6,325.0,324.0,6.0,320.0,29.8,29.7,0.0264,2.81,2.51,0.0166,0.766,-5.63e-06,-484.0,-484.0,21.9,58.1,22.6,0.199,0,4
2.5,6,324.0,323.0,6.0,306.0,29.5,29.5,0.0832,12.8,2.78,0.0211,0.677,0.00108,-481.0,-481.0,31.3,75.4,32.2,0.318,0,4
2.5,6,323.0,322.0,6.0,299.0,29.5,29.5,0.107,13.2,2.66,0.0193,1.6,0.00134,-478.0,-477.0,41.5,54.4,42.2,0.401,0,4
2.5,6,329.0,327.0,50.0,329.0,119.0,119.0,0.0205,1.93,2.75e-19,0.0279,2.6,1.87e-06,339.0,339.0,0.001,0.26,0.0,1.15e-06,0,4
2.5,6,329.0,328.0,50.0,329.0,119.0,119.0,0.0242,2.31,2.75e-19,0.0171,0.719,-2.07e-06,339.0,339.0,0.001,0.26,0.0,-2.86e-06,0,4
2.5,6,329.0,328.0,50.0,329.0,119.0,119.0,0.0234,2.19,2.75e-19,0.0303,0.374,0.0,339.0,339.0,0.0,0.26,0.0,9.98e-07,0,4
2.5,6,329.0,328.0,50.0,329.0,119.0,119.0,0.0191,0.702,2.75e-19,0.0149,2.92,-3.1e-06,339.0,339.0,-0.001,0.35,0.0,-1.44e-06,0,4
2.5,6,329.0,328.0,50.0,329.0,119.0,119.0,0.0229,2.12,2.75e-19,0.0278,2.58,0.0,339.0,339.0,-0.002,0.17,0.0,-5.96e-07,0,4
2.5,6,329.0,328.0,50.0,329.0,119.0,119.0,0.0274,2.31,2.75e-19,0.0173,0.778,2.71e-06,339.0,339.0,0.0,0.453,0.0,9.94e-07,0,4
2.5,6,329.0,328.0,50.0,329.0,119.0,119.0,0.0236,0.411,2.75e-19,0.021,0.137,1.39e-06,339.0,339.0,0.0,0.0665,0.0,8.88e-07,0,4
2.5,6,329.0,328.0,50.0,329.0,119.0,119.0,0.0208,2.5,2.75e-19,0.0167,0.246,0.0,339.0,339.0,0.00075,0.453,0.0,1.11e-06,0,4
2.5,6,329.0,328.0,50.0,329.0,119.0,119.0,0.0202,1.09,2.75e-19,0.0233,0.305,0.0,339.0,339.0,0.002,0.453,0.0,2.62e-06,0,4
2.5,6,329.0,328.0,50.0,329.0,119.0,119.0,0.0236,1.43,2.75e-19,0.0142,2.18,1.03e-06,339.0,339.0,0.001,0.363,0.0,1.59e-06,0,4
2.5,6,329.0,328.0,50.0,329.0,119.0,119.0,0.0186,1.27,2.75e-19,0.0168,0.878,-1.6e-06,339.0,339.0,0.001,0.26,0.0,-7.58e-07,0,4
2.5,6,329.0,328.0,50.0,329.0,119.0,119.0,0.0219,0.122,2.75e-19,0.0172,0.506,-2.08e-06,339.0,339.0,0.001,0.26,0.0,1.16e-06,0,4
2.5,6,329.0,328.0,50.0,329.0,119.0,119.0,0.0289,2.98,2.75e-19,0.0244,0.446,2.25e-06,339.0,339.0,-0.001,-0.0364,0.0,-1.23e-06,0,4
2.5,6,329.0,328.0,50.0,329.0,119.0,119.0,0.02,0.751,2.75e-19,0.0198,1.81,-2.54e-06,339.0,339.0,0.001,0.157,0.0,0.0,0,4
2.5,6,329.0,328.0,50.0,329.0,119.0,119.0,0.0225,1.19,2.75e-19,0.0276,4.95,2.18e-06,339.0,339.0,0.001,0.453,0.0,0.0,0,4
2.5,6,329.0,328.0,50.0,329.0,119.0,119.0,0.0241,1.83,2.75e-19,0.0168,0.74,0.0,339.0,339.0,0.0,0.441,0.0,-8.82e-07,0,4
2.5,6,329.0,328.0,50.0,329.0,119.0,119.0,0.0233,1.79,2.75e-19,0.0253,1.09,0.0,339.0,339.0,0.00075,-0.348,0.0,3.11e-06,0,4
2.5,6,329.0,327.0,50.0,329.0,119.0,119.0,0.0223,0.836,2.75e-19,0.0165,1.15,0.0,339.0,339.0,0.0,0.363,0.0,1.39e-06,0,4
2.5,6,329.0,328.0,50.0,329.0,119.0,119.0,0.0181,0.75,2.75e-19,0.0252,0.753,0.0,339.0,339.0,-0.001,0.35,0.0,0.0,0,4
2.5,6,329.0,328.0,50.0,329.0,119.0,119.0,0.0298,1.78,2.75e-19,0.0133,1.71,-4.01e-06,339.0,339.0,-0.00175,0.157,0.0,-6.52e-07,0,4
2.5,6,328.0,327.0,50.0,328.0,119.0,119.0,0.0211,1.31,2.75e-19,0.0153,0.516,4.98e-06,339.0,339.0,0.001,-0.0238,0.0,-2.3e-06,0,4
2.5,6,328.0,327.0,50.0,328.0,119.0,119.0,0.0237,0.788,2.75e-19,0.0145,0.512,0.0,339.0,339.0,0.0,0.26,0.0,0.0,0,4
2.5,6,328.0,327.0,50.0,328.0,119.0,119.0,0.0249,2.2,2.75e-19,0.0284,2.42,1.85e-06,339.0,339.0,-0.001,0.157,0.0,-2.24e-06,0,4
2.5,6,328.0,327.0,50.0,328.0,119.0,119.0,0.0266,0.71,2.75e-19,0.0136,2.6,2.25e-06,339.0,339.0,0.0,0.363,0.0,-1e-06,0,4
2.5,6,328.0,327.0,50.0,328.0,119.0,119.0,0.0212,1.26,2.75e-19,0.0162,0.55,2.26e-06,339.0,339.0,0.0,0.26,0.0,8.62e-07,0,4
2.5,6,328.0,327.0,50.0,328.0,119.0,119.0,0.0214,0.829,2.75e-19,0.0173,0.276,-2.15e-06,339.0,339.0,-0.002,0.247,0.0,-1.39e-06,0,4
2.5,6,328.0,327.0,50.0,328.0,119.0,119.0,0.0248,0.314,2.75e-19,0.0192,3.46,1.71e-06,339.0,339.0,-0.001,0.35,0.0,0.0,0,4
2.5,6,328.0,327.0,50.0,328.0,119.0,119.0,0.0281,2.1,2.75e-19,0.0166,1.18,4.23e-06,339.0,339.0,0.001,0.169,0.0,-1.47e-06,0,4
2.5,6,328.0,327.0,50.0,328.0,119.0,119.0,0.02,0.836,2.75e-19,0.0145,0.438,0.0,339.0,339.0,0.0,0.157,0.0,7.91e-07,0,4
2.5,6,329.0,327.0,50.0,328.0,119.0,119.0,0.0292,2.42,2.75e-19,0.0158,0.898,-2.25e-06,339.0,339.0,0.00075,0.325,0.0,3.26e-06,0,4
2.5,6,326.0,324.0,6.0,323.0,29.5,29.5,0.0818,9.56,0.921,0.0333,9.56,0.000542,-93.3,-92.9,53.3,24.6,53.3,0.177,0,4
2.5,6,326.0,324.0,6.0,318.0,29.5,29.5,0.0714,10.3,1.09,0.109,10.8,0.000575,-88.2,-87.7,53.2,27.5,53.3,0.208,0,4
2.5,6,326.0,325.0,6.0,316.0,29.5,29.5,0.106,9.77,0.877,0.0557,8.17,0.00102,-82.9,-82.4,53.4,15.5,53.3,0.165,0,4
2.5,6,326.0,325.0,6.0,318.0,29.5,29.5,0.096,11.7,0.807,0.0968,11.8,0.000941,-77.5,-77.1,53.4,20.8,53.3,0.155,0,4
2.5,6,326.0,325.0,6.0,318.0,29.5,29.5,0.0874,13.7,1.02,0.0881,9.11,0.000969,-72.2,-71.7,53.3,23.0,53.3,0.198,0,4
2.5,6,326.0,324.0,6.0,317.0,29.5,29.5,0.122,13.7,0.851,0.0912,9.29,0.00144,-66.9,-66.4,53.4,22.4,53.3,0.162,0,4
2.5,6,326.0,325.0,6.0,318.0,29.5,29.5,0.101,14.9,0.922,0.0864,6.79,0.00123,-61.5,-61.1,53.3,21.8,53.3,0.178,0,4
2.5,6,326.0,325.0,6.0,317.0,29.5,29.5,0.114,11.4,1.01,0.112,6.67,-0.0001,-56.2,-55.7,53.3,21.1,53.3,0.194,0,4
2.5,6,326.0,324.0,6.0,317.0,29.5,29.5,0.12,14.8,0.941,0.102,8.45,0.00152,-50.9,-50.4,53.3,26.7,53.3,0.181,0,4
